Date,PortfolioMTM,NAV,DailyReturn,Equity,HedgeShares,CallNum,NetDelta,Gamma,Vega,Theta,Vanna,Volga,TradeEvent,CallSymbol,ExitCallSymbol,Rolled,RehedgeDay
2024-09-09,114314.70458679195,114314.70458679195,0.0028938143684977637,1.143147045867919,-289.0,-788.0,-0.3585249931722956,0.04493049774918102,41.13618547260535,-77.72995815036161,1.4292772322389982,39.72168716610261,,O:AAPL241004C00230000,,False,True
2024-09-10,115491.50546874995,115491.50546874995,0.010294396387688937,1.1549150546874989,-369.0,-788.0,0.2367623360734683,0.048265392163600714,37.011218692872674,-61.809131463657955,1.872552949948319,66.13091186032878,,O:AAPL241004C00230000,,False,True
2024-09-11,116063.51434265134,116063.51434265134,0.0049528220415843835,1.1606351434265127,-297.0,-788.0,0.0009530653348974738,0.056594703016427925,39.50935755502012,-65.18345010733013,1.7315804753136503,47.55146819793195,,O:AAPL241004C00230000,,False,True
2024-09-12,116369.68416137692,116369.68416137692,0.0026379506122973764,1.1636968416137685,-308.0,-788.0,0.3369562095678589,0.05871193377321367,38.26074181144597,-64.21047911807558,1.8161953065340672,50.90902352137216,,O:AAPL241004C00230000,,False,True
2024-09-13,116452.84547729488,116452.84547729488,0.0007146304169961425,1.164528454772948,-327.0,-788.0,0.17885061578010664,0.05858854269792513,36.66287484755022,-64.79822264579782,1.873281822427791,54.64840936777239,,O:AAPL241004C00230000,,False,True
2024-09-16,115715.70308227534,115715.70308227534,-0.006329964647907671,1.1571570308227526,-582.0,-788.0,0.14438687200777167,0.038344172521656034,20.384113453183247,-38.76840887805818,2.1629516027079063,116.69663078357362,,O:AAPL241004C00230000,,False,True
2024-09-17,115623.41125244138,115623.41125244138,-0.0007975739452435761,1.1562341125244129,-563.0,-788.0,0.08813908460410858,0.03994709161980734,21.057608958454615,-46.11161190887644,2.0951157141145575,105.06320734891449,,O:AAPL241004C00230000,,False,True
2024-09-18,115547.42609802244,115547.42609802244,-0.0006571779330489156,1.1554742609802235,-435.0,-788.0,-0.15070704936761103,0.05423914472082726,27.64153420397177,-68.81394091077982,2.0254933743398116,70.96261366974201,,O:AAPL241004C00230000,,False,True
2024-09-19,114376.76928405758,114376.76928405758,-0.010131396721652239,1.1437676928405751,181.0,5833.0,-0.3796717100070168,0.07448425138528736,36.97849623345247,-103.14885887214103,0.29627918237459183,0.5359104043082259,enter_long,O:AAPL241004C00230000,O:AAPL241004C00230000,False,False
2024-09-20,110172.39961547847,110172.39961547847,-0.03675894759833135,1.101723996154784,553.0,5833.0,0.09863591865814669,0.08138146973053934,35.39508837941975,-99.21194955468579,0.5883160306077537,3.133055504284644,,O:AAPL241004C00230000,,False,True
2024-09-23,105074.28197814932,105074.28197814932,-0.0462740001590462,1.0507428197814925,1654.0,5833.0,0.05108075148700664,0.08985161010819614,29.356485184016382,-99.63610428355017,1.4123021938532543,20.16239871043848,,O:AAPL241004C00230000,,False,True
2024-09-24,103879.69188293451,103879.69188293451,-0.011369005552312298,1.0387969188293444,1249.0,5833.0,-0.4458393442050692,0.09601851215657936,28.926780490343784,-110.01102221897179,1.1110162298396449,11.405146096831546,,O:AAPL241004C00230000,,False,True
2024-09-25,101755.74188293453,101755.74188293453,-0.020446248554467535,1.0175574188293446,1956.0,5833.0,-0.4696210353015431,0.09801578025540714,25.807604597398182,-105.28186476167863,1.6245776729991626,25.04439605124545,,O:AAPL241004C00230000,,False,True
2024-09-26,99338.75979064929,99338.75979064929,-0.02375278335708926,0.9933875979064922,1426.0,5833.0,0.41641522044460544,0.11158605637500787,25.595932542045094,-115.20726582981692,1.2820323700133274,13.437112231989921,,O:AAPL241004C00230000,,False,True
2024-09-27,97390.56412414543,97390.56412414543,-0.019611636692561593,0.9739056412414536,1366.0,5833.0,0.38559214660836005,0.11984740216295006,24.06984881498533,-123.95963984828421,1.2311277330201125,11.562204772082875,,O:AAPL241004C00230000,,False,True
2024-09-30,105382.38329528802,105382.38329528802,0.08205948125482958,1.0538238329528795,0.0,0.0,,,,,,,exit:force_close,,O:AAPL241004C00230000,False,False
2024-10-01,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-02,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-03,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-04,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-07,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-08,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-09,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-10,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-11,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-14,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,0.0,0.0,,,,,,,,,,False,False
2024-10-15,105382.38329528802,105382.38329528802,0.0,1.0538238329528795,201.0,-400.0,-0.350991961285132,0.042943060678643605,31.9463173979678,-105.46450730413858,-1.3366205155431978,45.87275990189157,enter_short,O:AAPL241101C00225000,,False,False
2024-10-16,105578.31182312005,105578.31182312005,0.001859215190484232,1.0557831182311996,171.0,-400.0,-0.21425261598903944,0.04934193857952249,32.99216478974617,-111.28315594638019,-1.2106635944604334,33.204669652129226,,O:AAPL241101C00225000,,False,True
